danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0.623,0.282,3,-15.337,0.0324,0.686,8.86e-05,0.134,0.545,140.304,4bphaUlBk5RdrqZbSQmi4H,4
0.877,0.508,2,-12.528,0.149,0.509,0.00251,0.107,0.968,151.987,6y5s9BzDRNWNVgJFeAjOld,4
0.45,0.53,7,-11.284,0.0358,0.87,0.0723,0.137,0.899,86.087,7ByLX8Moni2MfhfbMKJ5Ll,4
0.709,0.52,2,-10.68,0.143,0.202,0.0,0.162,0.904,85.704,5rsdJ481oIM9OYyrqcEwWt,4
0.555,0.544,2,-12.026,0.043,0.682,0.000528,0.224,0.963,90.505,1JDbWD7LIel5BK3BklKMvC,4
0.62,0.309,4,-14.528,0.043,0.698,0.0424,0.119,0.6,109.459,24bOiXGnWfwged0gg0LemU,3
0.484,0.247,1,-9.957,0.0313,0.909,0.000207,0.144,0.464,140.362,5ZiPoxpEVPq3dvNrMK65DZ,4
0.785,0.577,0,-7.896,0.0431,0.702,0.0,0.0748,0.969,112.995,4G2KHpWAXR96DIeFSqxpUv,3
0.653,0.647,4,-7.028,0.0437,0.201,0.0,0.0753,0.936,156.28,3zcBNmJH6ToRCI0WNEIuES,4
0.52,0.273,0,-19.538,0.0343,0.866,0.00281,0.177,0.58,140.581,0Zgs9bpHbfx1FNL0LQlhZD,4
0.566,0.335,4,-16.296,0.038,0.821,0.0,0.115,0.495,130.239,4OMRn3nov7f0HgVOUqoBWQ,4
0.489,0.201,5,-22.642,0.0403,0.846,0.0118,0.367,0.621,136.717,3QS9jbi6AqCz86AxYm3ecd,4
0.466,0.536,4,-10.014,0.0501,0.0392,0.00012,0.108,0.397,113.067,5leD5vwMCnhANwn4BEN8Kd,4
0.398,0.0825,7,-18.128,0.0388,0.885,8.9e-06,0.0704,0.216,172.915,6uCQrBRV56TWt40SLXsEb4,3
0.755,0.285,7,-14.973,0.0855,0.601,1.55e-05,0.0843,0.536,80.944,6BAlnEh3wnUMpIBiuQQHYg,4
0.38,0.397,2,-11.024,0.0317,0.816,0.018,0.122,0.369,139.461,7pkxqgujKJmkx2OgXVK6xe,4
0.789,0.737,8,-10.855,0.343,0.635,0.0,0.0856,0.968,112.207,3UDX9t8WuQ0jYjt80gcdKN,4
0.708,0.54,9,-11.576,0.138,0.596,0.0,0.0612,0.789,89.203,5bKJDvmsgaNTVHQORrji1t,4
0.63,0.525,5,-12.426,0.0402,0.126,0.0,0.0834,0.459,127.689,2dhV6VPKdqNg85vgv16xjo,4
0.646,0.244,5,-17.422,0.0359,0.799,0.00315,0.11,0.661,99.637,4fJrqBOXrJ9QwaqJ9UsptN,5
0.655,0.0817,9,-15.591,0.0536,0.964,5.57e-05,0.11,0.492,105.668,7x8eqh7O8hFnc2vaYhvrtt,4
0.639,0.274,10,-17.509,0.28,0.16,0.000103,0.108,0.23,97.022,71GIj8A6VnRJhOoHGy7a7p,4
0.582,0.631,0,-7.141,0.0456,0.48,6.28e-05,0.11,0.412,91.873,2HeZT0wTuiRhQC0Vl9GYCM,4
0.619,0.751,7,-10.099,0.0858,0.757,0.0,0.117,0.739,88.76,1i2BMLTR7vlACznC7kXuIH,4
0.435,0.209,9,-15.551,0.0393,0.695,0.0,0.0751,0.522,144.867,0OrE0VWVZuhOPHSjO7WhKD,4
0.562,0.422,2,-13.068,0.142,0.408,0.0,0.324,0.619,76.601,3NAhqYwWwsYly8YniXmnes,4
0.49,0.221,3,-16.338,0.0346,0.909,0.00151,0.126,0.326,99.498,20XAR4Kjt5HR3ERoVwJnRV,4
0.82,0.634,9,-13.816,0.0747,0.128,0.0,0.0971,0.716,116.625,36SJ7ZFx8J1f1RsewmUwMX,4
0.325,0.489,2,-5.469,0.0289,0.454,0.0,0.365,0.351,97.772,5wvtMxRtnqlWxcqfXakxFN,4
0.58,0.147,4,-16.544,0.0704,0.966,0.00638,0.102,0.469,131.345,25M99TiZqVHkL9IFaPLUWn,5
0.667,0.454,7,-12.165,0.0327,0.852,3.99e-05,0.117,0.724,125.065,4P5f2NLw9GkgnbK5zs52Oj,4
0.598,0.562,2,-10.205,0.049,0.225,0.0,0.0864,0.567,154.107,5jyc2gfTkBHbIyMETSfq2u,4
0.295,0.265,2,-12.598,0.0322,0.721,6.42e-05,0.164,0.172,140.894,7cLJSO7d4Y7SFkXb9QYC3w,4
0.482,0.356,9,-13.149,0.0556,0.735,7.59e-06,0.689,0.216,93.998,5deNWRbj6a29vYokcQmMm8,4
